District	Total	Under 1 year 1970-1971	1-4 years 1966-1970	5-9 years 1961-1966	10 years and more before 1961	Total - Percentages	Under 1 year 1970 - 1971 - Percentages	1-4 years 1966-1970 - Percentages	5-9 years 1961-1966 - Percentages	10 years and more before 1961 - Percentages
Colombo	216.8	48.0	45.7	31.7	91.5	100.0	22.1	21.1	14.6	42.2
Kalutara	93.5	18.4	18.9	14.1	42.0	100.0	19.7	20.3	15.1	45.0
Kandy	210.9	35.7	43.3	34.8	97.1	100.0	16.9	20.5	16.5	46.0
Matale	54.7	8.6	11.3	8.7	26.2	100.0	15.6	20.6	15.8	47.9
N'Eliya	90.5	13.2	17.0	13.5	46.7	100.0	14.6	18.8	14.9	51.7
Galle	120.6	23.2	24.6	18.2	54.6	100.0	19.2	20.4	15.1	45.3
Matara	134.1	22.0	24.1	22.2	65.7	100.0	16.4	18.0	16.6	49.0
Hambantota	31.6	6.1	7.4	6.2	11.9	100.0	19.2	23.6	19.6	37.6
Jaffna	62.7	13.3	15.3	10.1	24.0	100.0	21.2	24.3	16.0	38.4
Mannar	5.5	1.4	1.4	0.6	2.0	100.0	25.6	25.7	11.5	37.2
Vavuniya	5.9	1.7	1.6	0.9	1.5	100.0	29.9	28.0	16.1	26.1
Batticaloa	19.7	4.3	3.6	3.3	8.5	100.0	21.7	18.3	16.8	43.2
Amparai	10.1	3.2	2.8	1.9	2.2	100.0	31.5	27.9	18.4	22.2
Trincomalee	12.2	2.7	2.7	2.7	4.0	100.0	22.4	22.5	22.2	33.0
Kurunegala	101.7	20.1	24.2	17.7	39.7	100.0	19.8	23.8	17.5	39.0
Puttalam	38.0	8.8	8.2	5.7	15.4	100.0	23.1	21.5	14.9	40.5
Anuradhapura	28.2	8.0	7.9	4.5	7.8	100.0	28.2	28.1	16.1	27.7
Polonnaruwa	12.3	3.4	3.6	3.4	1.9	100.0	27.4	29.6	27.5	15.5
Badulla	73.1	12.0	15.0	13.0	33.0	100.0	16.5	20.5	17.8	45.2
Moneragala	9.6	2.4	2.8	1.5	3.0	100.0	24.6	28.8	15.8	30.8
Ratnapura	67.1	15.7	14.1	10.2	27.1	100.0	23.3	21.1	15.3	40.3
Kegalle	115.8	20.8	23.8	19.1	52.1	100.0	18.0	20.6	16.5	45.0
