District	Total	Under 1 year 1970-1971 - Number ('000)	1-4 years 1966-1970 - Number ('000)	5-9 years 1961-1966 - Number ('000)	10 years and more before 1961 - Number ('000)	Total - Percentages	Under 1 year 1970 - 1971 - Percentages	1-4 year 1966-1970 - Percentages	5-9 years 1961-1966 - Percentages	10 years and more before 1961 - Percentages
Colombo	325.1	76.4	77.5	52.2	119.0	100.0	23.5	23.8	16.1	36.6
Kalutara	76.9	16.3	18.2	12.5	29.8	100.0	21.2	23.7	16.3	38.8
Kandy	135.4	27.3	26.5	18.4	63.2	100.0	20.2	19.5	13.6	46.7
Matale	59.3	9.6	13.6	11.1	25.0	100.0	16.3	22.9	18.7	42.1
N'Eliya	63.2	10.5	11.4	8.7	32.6	100.0	16.6	18.1	13.8	51.6
Galle	51.5	11.0	10.4	8.1	22.0	100.0	21.4	20.2	15.8	42.6
Matara	40.3	9.2	8.1	6.4	16.7	100.0	22.7	20.0	15.9	41.4
Hambantota	43.2	7.2	9.7	6.7	19.6	100.0	16.7	22.5	15.5	45.3
Jaffna	19.5	4.8	5.5	3.4	5.7	100.0	24.6	28.3	17.6	29.4
Mannar	14.1	4.0	3.4	1.7	5.0	100.0	28.3	24.4	11.8	35.5
Vavuniya	27.4	6.0	7.0	3.5	10.9	100.0	22.0	25.7	12.7	39.6
Batticaloa	13.9	2.7	3.3	2.2	5.7	100.0	19.7	23.5	15.9	40.9
Amparai	49.7	7.2	8.7	7.9	25.9	100.0	14.4	17.5	15.9	52.2
Trincomalee	47.3	7.6	9.1	7.9	22.7	100.0	16.1	19.3	16.6	48.0
Kurunegala	108.9	20.7	20.8	15.5	52.0	100.0	19.0	19.1	14.2	47.8
Puttalam	53.9	11.7	11.8	9.4	21.0	100.0	21.8	21.8	17.5	39.0
Anuradhapura	83.9	13.7	16.5	17.3	36.3	100.0	16.4	19.7	20.7	43.0
Polonnaruwa	65.2	7.9	10.7	10.2	36.3	100.0	12.2	16.4	15.7	55.7
Badulla	49.9	8.4	11.4	8.1	22.0	100.0	16.9	22.8	16.2	44.1
Moneragala	42.3	5.9	9.5	9.2	17.7	100.0	14.0	22.3	21.8	41.8
Ratnapura	77.8	12.0	15.4	13.9	36.6	100.0	15.4	19.8	17.8	47.0
Kegalle	65.7	12.5	11.0	9.6	32.6	100.0	19.0	16.7	14.7	49.6
