District	1963 - T	1963 - M	1963 - F	1971 - T	1971 - M	1971 - F
Sri Lanka	769	856	673	785	865	709
Colombo	884	924	839	884	919	844
Gampaha. Kalutara	826	888	761	832	886	777
Kandy	711	830	581	742	842	639
Matale	709	832	573	734	827	633
Nuwara Eliya	627	792	446	639	789	483
Galle	802	873	735	826	881	772
Matara	742	837	652	784	856	714
Hambantota	683	808	550	736	827	639
Jaffna	847	891	803	827	863	792
Mannar	756	828	659	759	824	680
Vavuniya	803	860	716	768	818	699
Batticaloa	629	753	492	570	664	467
Amparai	621	765	435	644	764	507
Trincomalee	734	825	601	681	764	576
Kurunegala	784	874	684	812	880	740
Puttalam	847	898	791	837	880	791
Anuradhapura	751	859	611	760	842	662
Polonnaruwa	761	839	639	781	842	696
Badulla	613	767	443	652	783	515
Moneragala	600	731	433	651	752	528
Ratnapura	682	801	545	716	811	610
Kegalle	748	847	642	784	862	703
