Year	Births	Birth rate per 1000 persons	Deaths	Death rate per 1000 persons	Natural increase	Rate of Natural increase per 1000	Net Migration
1953	321217	38.7	89003	10.7	232214	28.0	12645
1954	303894	35.7	86794	10.2	217100	25.5	7982
1955	325538	37.3	94368	10.8	231170	26.5	22995
1956	325067	36.4	87561	9.8	237506	26.6	17928
1957	334135	36.5	92759	10.1	241376	26.3	12343
1958	335690	35.8	90815	9.7	244875	26.1	15323
1959	356336	37.0	87971	9.1	268365	27.9	7711
1960	361702	36.6	84918	8.6	276784	28.0	6027
1961	363677	35.8	81653	8.0	282024	27.7	10737
1962	370762	35.5	88928	8.5	281834	27.0	10276
Mean 1953-62	339802	36.5	88477	9.7	251325	27.0	12397
1963	365842	34.4	91673	8.6	274169	25.6	10330
1964	361577	33.2	95618	8.8	265959	24.4	10444
1965	369437	33.1	91728	8.2	277704	24.9	5610
1966	369153	32.3	94419	8.3	274734	24.0	5812
1967	369531	31.6	87877	7.5	281654	24.1	6965
1968	384178	32.0	94903	7.9	289275	24.1	8707
1969	372774	30.4	99841	8.1	272933	22.1	10948
1970	367901	29.4	94147	7.5	273754	21.9	10369
1971	382480	30.1	97374	7.7	285106	22.4	33755
Mean 1963-71	371430	30.8	94176	8.1	277254	23.7	11438
