District	Life time in-migration 1971	in-migration duration of residence	Life time out-migration	Out-migration duration of residence	Life time net-migration	net-migration duration of residence
Colombo	439952	325084	279362	216780	160590	108304
Kalutara	98960	76875	137515	93464	-38555	-16589
Kandy	148319	135416	264012	210900	-115693	-75484
Matale	66870	59307	65917	54747	953	4560
Nuwara Eliya	74003	63217	105345	90463	-31342	-27246
Galle	67618	51543	162601	120636	-94983	-69093
Matara	56574	40322	176242	134069	-119668	-93747
Hambantota	52565	73217	38872	31555	13693	11662
Jaffna	25702	19535	88354	62682	-62652	-43147
Mannar	15504	14098	22680	5518	-7176	8580
Vavuniya	32970	27384	4873	5855	28097	21529
Batticaloa	15505	13866	23438	19653	-7933	-5787
Amparai	57741	49698	5892	10128	51849	39570
Trincomalee	55964	47324	13628	12221	42336	35103
Kurunegala	141463	108923	118238	101702	23225	7221
Puttalam	74098	53949	47666	37990	26432	15957
Anuradhapura	103298	83899	24297	28245	79001	55654
Polonnaruwa	77991	65178	8279	12274	69712	52904
Badulla	59850	49852	89813	73056	-29963	-23204
Moneragala	51677	42331	10798	9634	40879	32697
Ratnapura	91782	77840	83789	67142	7993	10698
Kegalle	93274	65687	140142	115830	-46888	-50143
