District	Population - 1946	Population - 1953	Population - 1963	Population - 1971	Average annual intercensal rate of growth - 1946-53	Average annual intercensal rate of growth - 1953-63	Average annual intercensal rate of growth - 1963-71
Sri Lanka(All Districts)	6657339	8097895	10582064	12689897	2.8	2.6	2.2
Colombo	1420332	1708726	2207420	2672265	2.7	2.5	2.3
Kalutara	456572	523550	631457	729514	2.0	1.8	1.7
Kandy	711449	840382	1043632	1187925	2.4	2.1	1.6
Matale	155720	201049	255630	314841	3.7	2.3	2.6
Nuwara Eliya	268121	325254	397756	450278	2.8	2.0	1.5
Galle	459785	524369	641474	735173	1.9	2.0	1.6
Matara	351947	413431	514969	586443	2.3	2.2	1.6
Hambantota	149686	191508	274297	340254	3.5	3.5	2.7
Jaffna	424788	491849	612596	701603	2.1	2.2	1.6
Mannar	31538	43689	60124	77780	4.7	3.1	3.1
Vavuniya	23246	35112	68621	95243	6.0	6.8	4.1
Batticaloa	203186	270493	196189	256721	4.2	4.1	3.3
Amparai(1)			211732	272605			3.1
Trincomalee	75926	83917	138553	188245	1.4	5.0	3.8
Kurunegala	485042	626336	852661	1025633	3.7	3.0	2.3
Puttalam	182847	228892	302546	378430	3.2	2.8	2.8
Anuradhapura	139534	229282	279788	388770	7.4	5.4	4.1
Polonnaruwa(1)			113971	163653			4.5
Badulla	372238	466896	521845	615405	3.3	3.3	2.1
Moneragala(1)			132260	193020			4.7
Ratnapura	343620	421555	546037	661344	3.0	2.5	2.3
Kegalle	401762	471605	578506	654752	2.3	2.0	1.5
