Age	Both Sectors - Total	Both Sectors - Male	Both Sectors - Female	Urban Sector - Total	Urban Sector - Male	Urban Sector - Female	Rural Sector - Total	Rural Sector - Male	Rural Sector - Female
5	15.6	15.7	15.4	16.4	16.4	16.4	15.4	15.5	15.2
6	60.1	60.8	59.4	62.4	62.6	62.1	59.5	60.3	58.7
7	73.3	74.1	72.5	76.7	77.3	76.1	72.4	73.2	71.5
8	76.8	77.8	75.8	80.1	60.5	79.6	76.0	77.0	74.9
9	79.1	80.3	77.8	82.1	83.1	81.1	78.1	79.6	76.9
10	78.1	79.8	76.4	81.4	82.6	80.2	77.2	79.0	75.4
11	77.4	79.6	75.1	82.0	83.2	80.7	76.2	78.7	73.4
12	69.3	71.6	66.8	75.1	76.6	73.5	67.7	70.3	64.9
13	64.9	67.8	61.9	72.3	74.2	70.3	62.8	66.0	59.5
14	57.2	60.2	54.2	65.7	67.5	63.7	54.9	58.1	51.6
15	51.0	53.4	48.5	60.3	62.5	58.0	48.3	50.7	54.8
16	43.2	45.7	40.8	52.9	55.5	50.1	40.5	42.7	38.2
17	35.2	37.1	33.3	43.6	46.0	40.9	32.7	34.3	31.2
18	24.2	25.9	22.5	30.2	32.3	27.8	22.5	23.9	21.0
19	18.8	20.2	17.3	23.8	25.1	22.2	17.2	18.5	15.9
20	12.6	13.8	11.4	16.8	18.0	15.4	11.2	12.3	10.2
21	10.4	11.1	9.7	14.1	14.7	13.4	9.2	9.8	8.6
22	7.7	8.4	7.0	11.5	12.0	10.9	6.5	7.1	5.9
23	6.3	6.9	5.7	9.6	10.1	8.9	5.2	5.7	5.9
24	5.2	5.9	4.6	8.2	8.7	7.6	4.2	4.8	3.7
