Sector	Gender	1953 - Number	1953 - %	1963 - Number	1963 - %	1971 - Number	1971 - %
All Sectors	T	2993349	100	3194125	100	3648875	100
All Sectors	M	2268740	100	2540407	100	2838404	100
All Sectors	F	724609	100	654718	100	810471	100
Agriculture	T	1584141	52.0	1681937	52.6	1828977	50.1
Agriculture	M	1147404	50.6	1266315	49.8	1327746	46.8
Agriculture	F	436737	60.3	415622	63.5	501231	61.8
(a) Tea, Rubber & Coconut	T	856110	28.6	787872	24.7	740325	20.3
(a) Tea, Rubber & Coconut	M	507003	22.3	432331	17.0	388804	13.7
(a) Tea, Rubber & Coconut	F	349107	48.2	355541	54.3	351521	43.4
(b) Other agriculture, Hunting, Forestry, and Fishing	T	728031	24.3	894065	28.0	1088652	29.8
(b) Other agriculture, Hunting, Forestry, and Fishing	M	640401	28.2	833984	32.8	938942	33.1
(b) Other agriculture, Hunting, Forestry, and Fishing	F	87630	12.1	60081	9.2	149710	18.5
Industry	T	362985	12.1	394660	12.4	465612	12.8
Industry	M	267659	11.8	329055	13.0	363814	12.8
Industry	F	95326	13.2	65605	10.0	101798	12.6
Services	T	848408	28.3	943173	29.4	1040369	28.5
Services	M	695493	30.6	792766	31.1	880214	31.0
Services	F	152915	21.1	150407	23.0	160155	19.8
Activities not adequately described	T	197315	6.6	175355	5.5	313917	8.6
Activities not adequately described	M	158184	7.0	152270	6.0	266630	9.4
Activities not adequately described	F	39631	5.4	23085	3.5	47287	5.8
