District of Residence (Total)	Total SriLankaBorn	Colombo	Kalutara	Kandy	Matale	N'Eliya	Galle	Matara	H'tota	Jaffna	Mannar
Sri Lanka	12550343	2481821	756818	1272385	311805	463078	830516	703586	327146	760941	81407
Colombo	2642411	2202459	60573	52501	7414	15921	69443	54854	5924	33832	5246
Kalutara	728263	44738	629303	5257	598	888	18641	7619	732	547	528
Kandy	1156692	19519	4671	1008373	18384	34536	8490	7352	691	4567	1814
Matale	312761	4994	1854	36827	245891	3502	1951	1324	93	792	344
Nuwara Eliya	431716	4595	855	40751	4620	357733	2073	1702	386	1110	588
Galle	735533	12777	16659	3064	723	1041	667915	20816	1666	488	832
Matara	583918	5993	2688	3376	253	1282	16544	527344	11829	474	433
Hambantota	340839	2279	805	927	77	277	4543	34854	288274	515	522
Jaffna	698289	3921	577	4242	1101	1188	566	898	131	672587	4075
Mannar	74321	2102	218	13214	183	374	200	239	8	6565	58727
Vavuniya	92814	1789	1153	3943	1022	1193	243	159	83	14605	1225
Batticaloa	257186	1554	512	1001	245	394	1261	493	83	3348	800
Amparai	271055	3881	1416	6762	544	3314	3386	7079	1037	1576	410
Trincomalee	190208	7252	704	5712	1506	8345	2245	3490	459	9652	614
Kurunegala	1025417	47440	4582	18831	4942	1690	5180	3035	288	2110	1611
Puttalam	378303	35629	2568	2093	473	351	1571	949	169	1631	509
Anuradhapura	388452	19802	2961	19473	10504	1694	5506	5529	499	1869	804
Polonnaruwa	163609	8541	2103	15994	10429	7406	3075	2150	238	300	83
Badulla	592666	6470	1559	13917	654	16874	4378	2875	291	2198	662
Moneragala	190593	2372	1613	1799	311	679	2648	5016	5075	194	410
Ratnapura	649821	14897	15697	6082	527	1988	7510	14003	9030	1143	556
Kegalle	645476	28817	3947	20136	1404	2408	3147	1806	160	838	514
