Districts	Buddhists	Hindus	Muslims	Roman Catholics	Other Christians
Sri Lanka	100	100	100	100	100
1. Colombo	21.5	6.4	20.4	48.0	52.2
2. Kalutara	7.1	1.8	5.7	2.9	1.9
3. Galle	8.0	0.7	2.5	0.4	1.8
4. Matara	6.4	0.8	1.6	0.2	0.09
Zone I (Total)	43.0	9.7	30.2	51.5	55.99
5. Hambantota	3.8	0.1	0.8	0.05	0.0
6. Moneragala	2.0	0.6	0.5	0.1	0.0
7. Amparai	0.9	2.5	14.1	0.6	1.9
8. Polonnaruwa	1.7	0.2	1.3	0.2	0.0
9. Anuradhapura	4.0	0.3	3.0	0.6	6.6
10. Puttalam	2.0	0.8	4.3	16.6	1.9
Zone II (Total)	14.4	4.5	24.0	18.15	10.3
11. Jaffna	0.1	26.7	1.2	8.7	8.5
12. Mannar	0.0	1.0	2.4	3.4	0.4
13. Vavuniya	0.2	2.8	0.7	1.2	0.9
14. Trincomalee	0.6	2.7	6.8	1.3	0.9
15. Batticaloa	0.1	7.5	6.9	1.7	2.8
Zone III (Total)	1.0	40.7	18.0	16.3	13.5
16. Kandy	8.5	13.7	11.8	3.7	8.5
17. Matara	2.7	2.4	2.4	0.9	0.9
18. Nuwara Eliya	2.1	10.5	1.0	1.9	2.8
19. Badulla	4.2	9.7	2.6	1.3	2.8
20. Ratnapura	6.1	5.0	1.1	1.2	2.8
21. Kegalle	6.3	2.9	3.4	1.1	3.8
22. Kurunegala	10.7	0.8	5.5	3.7	2.8
Zone IV (Total)	40.6	45.0	27.8	13.8	24.4
