Sector	Year	Gender	Total - Number	Total - %	Employers - Number	Employers - %	Paid Employees - Number	Paid Employees - %	Workers on own account - Number	Workers on own account - %	Unpaid family workers - Number	Unpaid family workers - %
Service Sector	1953	T	832599	100	37695	4.5	565154	67.9	201412	24.2	28338	3.4
Service Sector	1953	M	680484	100	35271	5.2	462537	68.0	172991	25.4	9685	1.4
Service Sector	1953	F	152115	100	2424	1.6	102617	67.5	28421	18.7	18653	12.2
Service Sector	1963	T	921165	100	47711	5.2	697687	75.7	163063	17.7	11612	1.3
Service Sector	1963	M	771133	100	45661	5.9	569054	73.9	148360	19.2	7162	0.9
Service Sector	1963	F	150032	100	2050	1.4	128633	85.7	14703	9.8	4450	3.0
Service Sector	1971	T	1040369	100	62525	6.0	844143	81.1	120274	11.6	13427	1.3
Service Sector	1971	M	880214	100	59740	6.8	701294	79.7	110315	12.5	8865	1.0
Service Sector	1971	F	160155	100	2785	1.7	142849	89.2	9959	6.2	4562	2.8
Wholesale and Retail Trade	1953	T	232633	100	32036	9.5	83681	36.0	117426	50.5	9490	4.1
Wholesale and Retail Trade	1953	M	207253	100	21136	10.2	80628	39.0	101632	49.0	3857	1.8
Wholesale and Retail Trade	1953	F	25380	100	900	3.5	3053	12.0	15794	62.2	5633	22.2
Wholesale and Retail Trade	1963	T	279658	100	30987	11.1	140734	50.3	102292	36.6	5370	1.9
Wholesale and Retail Trade	1963	M	260304	100	29903	11.5	133493	51.3	92958	35.7	3705	1.4
Wholesale and Retail Trade	1963	F	19354	100	1084	5.6	7241	37.4	9534	48.2	1665	8.6
Wholesale and Retail Trade	1971	T	278666	100	42223	15.2	151166	54.2	78595	28.2	6682	2.4
Wholesale and Retail Trade	1971	M	258893	100	40442	15.6	140918	54.4	72631	28.1	4902	1.9
Wholesale and Retail Trade	1971	F	19773	100	1781	9.0	10248	51.8	5964	30.2	1780	9.0
