AGE GROUP	SECTOR	POPULATION - URBAN - Number	POPULATION - URBAN - %	POPULATION - RURAL - Number	POPULATION - RURAL - %	ECONOMICALLY ACTIVE POPULATION - URBAN - Number	ECONOMICALLY ACTIVE POPULATION - URBAN - %	ECONOMICALLY ACTIVE POPULATION - RURAL - Number	ECONOMICALLY ACTIVE POPULATION - RURAL - %	ACTIVITY RATE - URBAN	ACTIVITY RATE - RURAL
10 - 14	T	343299	21.3	1265792	78.7	20288	25.1	60441	74.8	5.9	4.8
10 - 14	M	175848	21.4	645103	78.6	12764	25.8	36636	74.2	7.3	5.7
10 - 14	F	167451	21.3	620689	78.7	7524	24.0	23805	76.0	4.5	3.8
15 - 19	T	311171	22.9	1048792	77.1	106004	20.7	405686	79.2	34.1	38.7
15 - 19	M	165313	24.0	523402	76.0	76196	22.9	256583	77.1	46.1	49.0
15 - 19	F	145858	27.7	525390	78.3	29808	16.7	149103	83.3	20.4	28.4
20 - 44	T	1043310	24.5	3223076	75.5	678006	23.8	2173999	76.8	65.0	67.4
20 - 44	M	573237	26.3	1604279	73.7	535511	25.9	1528023	74.0	93.4	95.2
20 - 44	F	470073	22.5	1618707	77.5	142584	18.0	645976	82.0	30.3	39.9
45 - 60	T	302494	23.0	1009827	72.0	170846	21.5	621882	78.5	56.5	61.6
45 - 60	M	166441	23.5	542414	76.5	145832	22.7	496740	77.3	87.6	91.6
45 - 60	F	136053	22.6	467413	77.4	25014	16.7	125142	83.3	18.4	26.8
60 & Over	T	174692	21.6	631940	78.3	44157	17.6	206741	82.4	25.3	32.7
60 & Over	M	90840	20.5	352190	79.4	37350	16.7	186834	83.3	41.1	53.0
60 & Over	F	83852	23.1	279750	76.9	6807	25.5	19907	74.5	8.1	7.1
Total Aged 10 Years & Over	T	2174966	23.3	7179337	76.7	1019390	22.7	3468749	77.3	46.9	48.3
Total Aged 10 Years & Over	M	1171679	24.2	3667388	75.8	807653	24.4	2504816	75.6	68.9	68.3
Total Aged 10 Years & Over	F	1003287	22.2	3511949	77.8	211737	18.0	963933	82.0	21.1	27.4
