AGE GROUP	SEX	POPULATION % - 1946	POPULATION % - 1953	POPULATION % - 1963	POPULATION % - 1971	LABOUR FORCE % - 1946	LABOUR FORCE % - 1953	LABOUR FORCE % - 1963	LABOUR FORCE % - 1971	ACTIVITY RATE - 1946	ACTIVITY RATE - 1953	ACTIVITY RATE - 1963	ACTIVITY RATE - 1971
UNDER 10 YEARS	T	25.1	28.3	28.9	26.3	False	False	False	False	False	False	False	False
UNDER 10 YEARS	M	24.0	27.2	28.1	25.9	False	False	False	False	False	False	False	False
UNDER 10 YEARS	F	26.4	29.7	29.7	26.7	False	False	False	False	False	False	False	False
10-14 YEARS	T	12.1	11.4	12.6	12.7	4.0	3.1	2.4	1.8	13.0	10.2	6.2	5.0
10-14 YEARS	M	11.7	11.1	12.4	12.6	2.9	2.2	2.0	1.5	14.1	10.5	8.1	6.0
10-14 YEARS	F	12.5	11.6	12.8	12.8	8.1	6.1	3.9	2.7	11.8	9.9	4.3	4.0
15-19 YEARS	T	10.2	8.7	9.7	10.7	11.2	8.8	10.2	11.4	43.0	37.4	34.1	37.6
15-19 YEARS	M	10.3	8.5	9.4	10.5	10.6	7.5	8.8	10.0	59.2	46.5	46.2	48.3
15-19 YEARS	F	10.1	8.9	9.9	10.9	13.5	13.0	15.4	15.2	24.2	27.7	21.6	26.6
20-59 YEARS	T	47.1	46.2	42.3	44.0	77.2	80.6	80.5	81.2	63.2	64.4	61.4	65.3
20-59 YEARS	M	48.4	47.7	43.1	44.2	78.7	82.7	81.2	81.7	94.1	92.2	92.8	93.7
20-59 YEARS	F	45.8	44.6	41.5	43.7	71.8	73.8	77.6	79.8	28.6	31.3	26.0	34.9
60 YEARS & OVER	T	5.4	5.4	5.9	6.3	7.6	7.5	6.9	5.6	55.2	51.6	38.2	31.1
60 YEARS & OVER	M	5.5	5.5	6.3	6.8	7.9	7.7	7.9	6.8	82.2	73.6	62.0	50.6
60 YEARS & OVER	F	5.2	5.3	5.4	5.9	6.6	7.1	3.1	2.3	23.0	25.6	8.0	7.3
ALL AGES	T	100	100	100	100	100	100	100	100	39.2	37.0	32.3	35.4
ALL AGES	M	100	100	100	100	100	100	100	100	57.8	53.1	49.3	50.7
ALL AGES	F	100	100	100	100	100	100	100	100	18.2	18.9	13.9	19.1
