Digit	1946 - Male	1946 - Female	1953 - Male	1953 - Female	1963 - Male	1963 - Female	1971 - Male	1971 - Female
0	4.42	5.17	6.56	9.24	5.85	8.85	3.67	5.2
1	-2.05	-2.9	-4.15	-4.71	-3.19	-3.68	-1.27	-1.99
2	2.82	1.61	1.72	0.83	0.34	-0.1	0.2	-0.35
3	-1.96	-2.92	-2.03	-2.96	-0.48	-0.86	-0.95	-1.48
4	-1.04	-1.82	-2.78	-3.15	-2.31	-2.57	-1.45	-1.91
5	5.33	4.31	6.69	8.0	5.7	7.44	3.45	4.58
6	2.08	0.45	-1.21	-1.47	-1.56	-1.63	-0.94	-1.07
7	-1.94	-3.57	-3.23	-3.67	-2.34	-2.44	-1.83	-2.15
8	4.33	3.16	2.41	2.42	1.09	-1.73	0.98	1.33
9	-2.54	-3.49	-3.98	-4.53	-3.11	-3.28	-1.87	-2.19
Myer's Index (overall)	28.51	29.4	34.76	40.98	25.97	32.58	16.61	22.25
